# ID        RA            DEC           z      Mag    Int_Pz    Rad(')   Rank
09.000373   175.7002229  +15.4520484    0.96   22.92  0.247     0.71     485
09.000030   175.7004558  +15.4694626    1.43   24.07  0.269     1.30     480
09.000152   175.6931390  +15.4622682    0.92   21.96  0.231     0.72     475
09.000287   175.6816135  +15.4550810    0.95   25.01  0.238     0.43     460
09.000032   175.6989183  +15.4692484    0.95   21.86  0.232     1.25     459
09.000298   175.6865436  +15.4549391    1.09   24.20  0.205     0.23     455
09.000372   175.6922270  +15.4518392    0.92   22.55  0.193     0.25     453
09.000544   175.7110875  +15.4414755    1.03   24.41  0.258     1.47     452
09.000594   175.6895954  +15.4381237    0.99   23.53  0.236     0.80     451
09.000195   175.7075747  +15.4595240    0.82   23.45  0.237     1.24     439
09.000385   175.7044033  +15.4514064    0.95   25.29  0.250     0.95     438
09.000451   175.6784974  +15.4481766    0.93   23.36  0.218     0.58     437
09.000637   175.6905950  +15.4360934    0.97   25.41  0.249     0.93     436
09.000329   175.6931950  +15.4539824    0.94   25.52  0.212     0.34     424
09.000499   175.6831710  +15.4443586    1.06   22.80  0.198     0.50     418
09.000178   175.6835934  +15.4607553    0.90   25.27  0.219     0.62     407
09.000040   175.6882952  +15.4686906    0.93   22.58  0.206     1.04     405
09.000212   175.6855106  +15.4587592    0.87   24.69  0.203     0.46     404
09.000098   175.6932804  +15.4647493    0.94   23.66  0.211     0.86     403
09.000383   175.6796478  +15.4515059    1.05   24.96  0.205     0.48     402
09.000507   175.7019551  +15.4440821    0.91   25.33  0.223     0.92     396
09.000120   175.6741369  +15.4633765    0.92   22.89  0.204     1.07     395
09.000068   175.6960032  +15.4658936    0.86   24.05  0.211     0.99     393
09.000424   175.6937641  +15.4500288    0.90   25.24  0.190     0.35     392
09.000305   175.7006629  +15.4549543    0.85   25.47  0.216     0.77     390
09.000110   175.6687528  +15.4640898    1.02   24.90  0.221     1.35     387
09.000214   175.7071915  +15.4585452    0.87   24.55  0.215     1.19     386
09.000247   175.6701872  +15.4570983    0.98   25.15  0.218     1.08     385
09.000310   175.6768885  +15.4547896    0.93   24.65  0.201     0.67     383
09.000371   175.6919016  +15.4519208    0.78   23.76  0.159     0.23     383
09.000656   175.6743494  +15.4334807    1.04   25.38  0.219     1.33     377
09.000230   175.6743833  +15.4579277    1.01   24.45  0.201     0.88     375
09.000107   175.6687064  +15.4647841    0.92   24.25  0.208     1.37     374
09.000118   175.7053012  +15.4638724    0.93   24.94  0.212     1.25     374
09.000494   175.6722907  +15.4453466    0.94   24.89  0.205     0.97     372
09.000114   175.6848796  +15.4640931    0.84   25.01  0.199     0.78     369
09.000335   175.6838147  +15.4536923    0.81   24.45  0.161     0.28     368
09.000587   175.6734524  +15.4387583    0.98   25.72  0.211     1.13     365
09.000590   175.6757689  +15.4388214    0.90   24.81  0.200     1.03     363
09.000064   175.6892130  +15.4673247    0.85   23.46  0.187     0.96     361
09.000542   175.7004932  +15.4415989    0.89   25.62  0.203     0.93     361
09.000255   175.6864733  +15.4569553    0.76   25.42  0.171     0.34     360
09.000473   175.6815628  +15.4468637    0.87   25.29  0.180     0.46     360
09.000382   175.6782967  +15.4522173    1.01   24.55  0.179     0.56     357
09.000146   175.6690603  +15.4625251    0.91   25.13  0.203     1.28     356
09.000174   175.6951436  +15.4612022    0.87   24.96  0.188     0.72     355
09.000566   175.7038203  +15.4400973    0.89   25.44  0.197     1.14     347
09.000189   175.7060348  +15.4598639    0.88   23.81  0.183     1.16     344
09.000232   175.6950799  +15.4579806    0.85   24.96  0.174     0.57     343
09.000546   175.6730013  +15.4410503    0.83   21.58  0.163     1.06     341
09.000191   175.6697086  +15.4597377    0.90   24.72  0.188     1.17     340
09.000553   175.6751371  +15.4404282    0.78   21.07  0.155     0.99     336
09.000475   175.6936714  +15.4463708    0.92   21.72  0.140     0.45     334
09.000477   175.6840257  +15.4461249    0.58   24.02  0.150     0.39     334
09.000082   175.6724553  +15.4665030    0.81   23.72  0.177     1.27     332
09.000038   175.6964278  +15.4688597    0.62   23.44  0.173     1.16     332
09.000492   175.7103522  +15.4456152    0.81   24.90  0.185     1.34     329
09.000163   175.7027312  +15.4614069    0.86   21.56  0.156     1.05     329
09.000404   175.6881973  +15.4507742    1.01   99.00  0.297     0.04     328
09.000460   175.6808073  +15.4474678    0.74   25.42  0.161     0.47     327
09.000513   175.7043696  +15.4439303    0.90   24.30  0.173     1.05     324
