1.0 0.0 2.0 3.87000637253e-05 0.000483750796973 4.61501072837e-05 3.69200859638e-06
2.5 2.0 3.0 2.69454517053e-05 0.00033681811337 3.84507173586e-05 3.07605739568e-06
3.5 3.0 4.0 3.0481709574e-05 0.00076204271067 5.80372171656e-05 2.32148869183e-06
4.5 4.0 5.0 3.41864353346e-05 0.00128199134209 8.04510446737e-05 2.14536118607e-06
5.5 5.0 6.0 2.3006556667e-05 0.000575163948738 5.58276039671e-05 2.23310411913e-06
6.5 6.0 7.0 2.30290761992e-05 0.00115145374931 7.14431268969e-05 1.42886252608e-06
7.5 7.0 8.0 2.07854891375e-05 0.000649546462008 6.41842050795e-05 2.05389461368e-06
8.5 8.0 9.0 2.05811818623e-05 0.00128632380302 7.72387426935e-05 1.23581990422e-06
9.5 9.0 10.0 1.7219352271e-05 0.000968588592829 7.58339041925e-05 1.3481583009e-06
10.5 10.0 11.0 1.29069266292e-05 0.000645346370879 5.67418923975e-05 1.13483784337e-06
11.5 11.0 12.0 1.34472616297e-05 0.00117663543881 7.84882895615e-05 8.97009002799e-07
12.5 12.0 13.0 1.2459021057e-05 0.00109016428538 7.43022635449e-05 8.49168730421e-07
13.5 13.0 14.0 1.1613335932e-05 0.00101616689739 7.18729732725e-05 8.21405397413e-07
14.5 14.0 15.0 9.89741477772e-06 0.000866023824219 6.5807347546e-05 7.52083969501e-07
15.5 15.0 16.0 9.58124110468e-06 0.000958124048347 6.79368695484e-05 6.7936870319e-07
16.5 16.0 17.0 8.78183300498e-06 0.000823296873179 6.47864418556e-05 6.9105536962e-07
17.5 17.0 18.0 7.12585465895e-06 0.00075712213502 6.11176305671e-05 5.75224760659e-07
18.5400009155 18.0 19.0799999237 7.22924605324e-06 0.000813290201457 6.289941158e-05 5.59105885859e-07
19.6525001526 19.0799999237 20.2250003815 5.91012326921e-06 0.00066488893937 5.89129787036e-05 5.23670910894e-07
20.8314990997 20.2250003815 21.4379997253 5.82217810395e-06 0.000873326723513 6.5492226637e-05 4.36614833332e-07
22.0814990997 21.4379997253 22.7250003815 5.03037463954e-06 0.000754556192347 6.30103656187e-05 4.20069099597e-07
23.4064998627 22.7250003815 24.0879993439 4.58232480953e-06 0.00071598829019 6.22120857456e-05 3.98157334514e-07
24.8104991913 24.0879993439 25.533000946 3.89094370073e-06 0.000729551937608 6.20654780933e-05 3.31015884771e-07
26.2989997864 25.533000946 27.0650005341 3.61660692422e-06 0.000723321402305 6.56617983085e-05 3.28308980852e-07
27.8770008087 27.0650005341 28.688999176 3.852762973e-06 0.000915031198231 7.12368880655e-05 2.99944797711e-07
29.5499992371 28.688999176 30.4109992981 2.86030875641e-06 0.00080446181596 7.05322231832e-05 2.50781240162e-07
31.3229999542 30.4109992981 32.2350006104 2.85130922224e-06 0.000819751531627 7.24576868564e-05 2.5202672854e-07
33.2019996643 32.2350006104 34.1689987183 2.06843995022e-06 0.000736881715666 6.92031109084e-05 1.94254349207e-07
35.1944999695 34.1689987183 36.2200012207 1.94089757944e-06 0.000727836561236 6.87188349793e-05 1.83250229902e-07
37.3064994812 36.2200012207 38.3930015564 1.58683571338e-06 0.000704158360346 6.86563729931e-05 1.54718580234e-07
39.5444984436 38.3930015564 40.6959991455 1.74501834606e-06 0.000861602770924 7.60171895249e-05 1.53958868729e-07
41.9169998169 40.6959991455 43.1380004883 1.58279354603e-06 0.000830966568742 7.47464891723e-05 1.42374269707e-07
44.4319992065 43.1380004883 45.7260017395 8.41991156321e-07 0.000515719561545 6.59294736257e-05 1.07639960932e-07
47.0979995728 45.7260017395 48.4700012207 8.32843253707e-07 0.000577785036705 6.96597819803e-05 1.00410497819e-07
49.9239997864 48.4700012207 51.3779983521 8.8870130168e-07 0.000649862853162 7.33146656904e-05 1.0025937036e-07
52.9194984436 51.3779983521 54.4609985352 7.78842267385e-07 0.000671751491068 7.68622442908e-05 8.91156421082e-08
56.0945014954 54.4609985352 57.7280006409 6.13395856901e-07 0.000590393521922 7.53741052186e-05 7.83107564104e-08
59.4599990845 57.7280006409 61.1920013428 5.56675539141e-07 0.000601905432574 7.90067131513e-05 7.30697901642e-08
63.0279998779 61.1920013428 64.8639984131 5.3749127801e-07 0.000661786174309 8.2913864491e-05 6.73412105515e-08
66.8099975586 64.8639984131 68.7559967041 2.96689530761e-07 0.000413511042299 7.68985752072e-05 5.51738637122e-08
70.8184967041 68.7559967041 72.8809967041 3.18092311431e-07 0.000483102749629 8.12276556952e-05 5.34832265891e-08
75.0674972534 72.8809967041 77.2539978027 2.1389025775e-07 0.000376981601141 8.33587662679e-05 4.72957535788e-08
79.5715026855 77.2539978027 81.888999939 1.59267194948e-07 0.00031057104982 8.65010839351e-05 4.4359529514e-08
84.3454971313 81.888999939 86.8020019531 1.18778928796e-07 0.00025834418781 9.37883489569e-05 4.31210784895e-08
89.40599823 86.8020019531 92.0100021362 8.96463244336e-08 0.000221314392879 9.6529496365e-05 3.91005535338e-08
97.6965026855 92.0100021362 103.383003235 3.02262352693e-08 0.000177768028214 0.000143018822163 2.4317759348e-08
109.772003174 103.383003235 116.161003113 4.4038186483e-08 0.000325332119056 0.000159843778281 2.1637059803e-08
