Cluster,ID,RA,Dec,Spec-z,Spec-z_err,Q,Comment,Source,Date
MOOJ1142+1527,id1635,175.69041,15.40875,1.03,0.003,1.0,faint-D4000,KG,2013-2023
MOOJ1142+1527,gmos1580,175.69087,15.45809,0.0,0.003,3.0,star,KG,2013-2023
MOOJ1142+1527,1070333051934,175.6945,15.42225,1.0759,0.003,3.0,"[oII],D4000,Hg",KG,2013-2023
MOOJ1142+1527,id9p000253,175.695,15.456833,1.2039,0.003,2.0,good-D4000,KG,2013-2023
MOOJ1142+1527,1986,175.69662,15.432111,1.119,0.003,1.0,D4000,KG,2013-2023
MOOJ1142+1527,MY_789,175.69739,15.46946,1.208,0.003,1.0,5007,KG,2013-2023
MOOJ1142+1527,id9p000332,175.69759,15.453083,1.1859,0.003,3.0,"3727,D4000",KG,2013-2023
MOOJ1142+1527,id9p000158,175.69983,15.46175,1.18,0.003,1.0,faint-D4000,KG,2013-2023
MOOJ1142+1527,obj586,175.70158,15.479917,0.2648,0.003,3.0,"Ha,SII",KG,2013-2023
MOOJ1142+1527,id9p000103,175.70271,15.465,1.2,0.003,1.0,faint-D4000,KG,2013-2023
MOOJ1142+1527,id9p000003,175.70508,15.473333,0.0,0.003,2.0,star,KG,2013-2023
MOOJ1142+1527,4291535127255,175.7063,15.496139,0.74,0.003,1.0,D4000,KG,2013-2023
MOOJ1142+1527,MY_769,175.70691,15.45007,1.1715,0.003,2.0,"5007,Hb",KG,2013-2023
MOOJ1142+1527,gmos1242,175.70724,15.44302,0.83,0.003,1.0,H+K,KG,2013-2023
MOOJ1142+1527,MY_774,175.7097,15.44643,1.2001,0.003,3.0,S;KSZA-Feb22,KG,2013-2023
MOOJ1142+1527,id181,175.71454,15.489223,0.6301,0.003,2.0,4959+5007,KG,2013-2023
MOOJ1142+1527,MY_394,175.72556,15.44856,1.1836,0.003,2.0,5007,KG,2013-2023
MOOJ1142+1527,J114254.94+15284,175.72891,15.479639,0.933,0.003,3.0,"caHK,d4000",KG,2013-2023
MOOJ1142+1527,4291535127875,175.73158,15.475166,0.4903,0.003,3.0,"Hb,[oIII]",KG,2013-2023
MOOJ1142+1527,4291535127357,175.73717,15.44675,0.8164,0.003,3.0,"[oII],[oIII]",KG,2013-2023
MOOJ1142+1527,4291535126792,175.74362,15.454833,0.818,0.003,2.0,d4000,KG,2013-2023
MOOJ1142+1527,4291535127987,175.74413,15.481778,0.7914,0.003,3.0,"[oII],[oIII]",KG,2013-2023
MOOJ1142+1527,J114258.92+15272,175.7455,15.456722,0.7263,0.003,2.0,[oII],KG,2013-2023
MOOJ1142+1527,4291535127889,175.74567,15.467222,0.215,0.003,3.0,"[oIII],h-alpha",KG,2013-2023
MOOJ1142+1527,4291535127891,175.7525,15.459695,0.722,0.003,3.0,"caHK,d4000",KG,2013-2023
MOOJ1142+1527,J114301.50+15273,175.75626,15.458333,0.7227,0.003,2.0,[oII],KG,2013-2023
MOOJ1142+1527,J114302.85+15311,175.76187,15.521083,1.07,0.003,1.0,d4000,KG,2013-2023
MOOJ1142+1527,4291535127445,175.76659,15.522,0.5939,0.003,3.0,"[oII],h-beta",KG,2013-2023
MOOJ1142+1527,4291535127906,175.76738,15.468056,0.7852,0.003,2.0,[oII],KG,2013-2023
MOOJ1142+1527,4291535127907,175.76772,15.465611,0.8175,0.003,3.0,"[oII],d4000",KG,2013-2023
MOOJ1142+1527,4291535127442,175.76796,15.495334,0.2288,0.003,3.0,"[oIII],h-alpha",KG,2013-2023
MOOJ1142+1527,4291535127911,175.77075,15.500584,0.696,0.003,3.0,H+K,KG,2013-2023
MOOJ1142+1527,4291535127475,175.774,15.514361,1.4518,0.003,3.0,[oII],KG,2013-2023
MOOJ1142+1527,4291535127488,175.77504,15.528694,0.6642,0.003,3.0,"[oII],h-beta,[oIII]",KG,2013-2023
MOOJ1142+1527,ksza64291535192523,175.78612,15.45783,1.204,0.003,1.0,3727,KG,2013-2023
MOOJ1142+1527,J114310.26+15305,175.79276,15.51475,0.5457,0.003,3.0,"[oII],h-beta",KG,2013-2023
MOOJ1142+1527,4291535193222,175.79912,15.511556,0.6026,0.003,3.0,"[oII],[oIII]",KG,2013-2023
