# MC1J1142+1527 redshifts; Updated 30 July 2025
# Quality flags 3/2 are correct and 1 are guesses; ignore Q=0 objects
# Multiple coordinate systems used in making masks - beware! 
# Duplicates have been checked
# gmos ID are from an old version of phot catalogs
# MY ID are from the MOSFIRE masks
# obj ID are (mostly)from LRIS/DEIMOS masks in kSZ program
# pure number IDs are filler obj
# Includes GMOS from 2013/14; DEIMOS May 2015, MOSFIRE June 2015
# Also includes KSZ Keck masks observed in Feb-2022, Dec 2022 (m1142dec22a) and Jan 2023 (m1142kszd)
# NEED: pypeit reductions of Keck mask m1142szl (Feb-2024), m1142szo (Mar-2024), m1142szq (May-2024).
# Cluster       ID                 RA        Dec        Spec-z Q Comment                     Source Date     
  MOOJ1142+1527 gmos2976           175.66988 15.45907   1.201  1 3727                        KG     2013-2023
  MOOJ1142+1527 gmos3280           175.6722  15.46664   0.7221 3 Hb,5007                     KG     2013-2023
  MOOJ1142+1527 id2179             175.67274 15.401778  -91.0  0 nada                        KG     2013-2023
  MOOJ1142+1527 id1479             175.67313 15.4117775 -91.0  0 red-cont                    KG     2013-2023
  MOOJ1142+1527 id9p000423         175.67542 15.449917  1.192  1 D4000;gmos3034              KG     2013-2023
  MOOJ1142+1527 gmos3034           175.67577 15.45011   1.19   2 D4000;id9p000423            KG     2013-2023
  MOOJ1142+1527 1584               175.67642 15.433639  0.923  2 d2900,d4000                 KG     2013-2023
  MOOJ1142+1527 gmos2896           175.67805 15.43999   1.2342 2 3727                        KG     2013-2023
  MOOJ1142+1527 obj1777            175.67859 15.448361  1.1858 2 [oII],D4000                 KG     2013-2023
  MOOJ1142+1527 id9p000575         175.67975 15.439362  1.02   1 faint-cont                  KG     2013-2023
  MOOJ1142+1527 obj1903            175.67987 15.4565    1.185  2 H+K                         KG     2013-2023
  MOOJ1142+1527 id2039             175.67996 15.405861  1.2    1 red-cont                    KG     2013-2023
  MOOJ1142+1527 id2080             175.68042 15.402306  0.93   1 red-cont                    KG     2013-2023
  MOOJ1142+1527 id9p00037          175.6805  15.451389  1.1947 3 H+K,D4000;gmos3213          KG     2013-2023
  MOOJ1142+1527 gmos3213           175.68086 15.45159   1.19   2 D4000;id9p00037             KG     2013-2023
  MOOJ1142+1527 id970              175.68175 15.483973  1.2    1 faint-D4000                 KG     2013-2023
  MOOJ1142+1527 id9p000286         175.68204 15.455389  1.1805 3 H+K,D4000                   KG     2013-2023
  MOOJ1142+1527 4291535127835      175.68254 15.497833  0.0    2 star                        KG     2013-2023
  MOOJ1142+1527 1920               175.68275 15.453278  -91.0  0 faint                       KG     2013-2023
  MOOJ1142+1527 gmos3318           175.68279 15.45057   1.179  3 H+K                         KG     2013-2023
  MOOJ1142+1527 4291535127167      175.68283 15.443306  1.1167 2 [oII]                       KG     2013-2023
  MOOJ1142+1527 MY_1962ser         175.68382 15.45079   1.2401 3 5007,4959                   KG     2013-2023
